ProductID,StoreID,YearMonth,total_revenue,transaction_count
2000,401,2028-01,1938.62,1
2000,401,2038-09,969.31,1
2000,402,2037-07,872.38,1
2000,402,2041-03,969.31,1
2000,403,2049-11,775.45,1
2000,404,2031-08,2907.93,1
2000,404,2040-11,872.38,1
2000,404,2045-04,1744.76,1
2001,401,2037-12,1649.4,1
2001,401,2038-12,412.35,1
2001,401,2041-04,2061.75,1
2001,401,2041-09,371.12,1
2001,401,2047-03,371.12,1
2001,401,2047-07,1237.05,1
2001,401,2054-04,412.35,1
2001,402,2024-05,1237.05,1
2001,402,2042-08,824.7,1
2001,403,2033-09,824.7,1
2001,403,2034-01,989.64,1
2001,403,2054-11,1113.34,1
2001,404,2025-09,659.76,1
2002,402,2037-08,779.4,1
2002,402,2042-08,3464.0,2
2002,402,2052-10,3464.0,1
2002,403,2029-09,2771.2,1
2002,403,2044-05,866.0,1
2002,404,2030-09,692.8,1
2002,404,2048-04,866.0,1
2002,404,2050-09,1385.6,1
2002,404,2054-03,1558.8,1
2003,401,2050-05,2079.97,1
2003,401,2052-09,346.66,1
2003,401,2053-07,1155.54,1
2003,402,2024-02,346.66,1
2003,402,2036-10,308.14,1
2003,402,2038-03,1925.9,1
2003,402,2055-06,1386.65,1
2003,403,2026-01,1039.99,1
2003,403,2035-06,693.32,1
2003,403,2044-10,346.66,1
2003,404,2024-04,924.43,1
2003,404,2032-08,385.18,1
2003,404,2034-12,1155.54,1
2003,404,2037-02,1848.86,1
2003,404,2041-05,1155.54,1
2003,404,2048-10,385.18,1
2004,401,2027-04,2225.4,1
2004,401,2054-08,2967.2,1
2004,402,2024-10,741.8,1
2004,402,2037-02,2967.2,1
2004,402,2048-02,1854.5,1
2004,402,2048-03,927.25,1
2004,402,2052-03,1669.05,1
2004,403,2025-11,1669.05,1
2004,403,2026-03,834.52,1
2004,403,2027-12,927.25,1
2004,403,2041-03,834.52,1
2004,403,2042-04,2225.4,1
2004,403,2043-08,2781.75,1
2004,404,2030-12,2781.75,1
2004,404,2043-09,1483.6,1
2004,404,2051-06,2781.75,1
2004,404,2053-05,741.8,1
2005,401,2024-07,686.05,1
2005,401,2045-12,1715.12,1
2005,401,2046-01,686.05,1
2005,402,2031-10,1157.71,1
2005,402,2034-09,1286.34,1
2005,402,2040-07,385.9,1
2005,402,2053-03,343.02,1
2005,403,2024-03,1715.12,1
2005,403,2036-03,428.78,1
2005,403,2037-07,686.05,1
2005,403,2039-05,1157.71,1
2005,404,2037-11,385.9,1
2005,404,2040-10,771.8,1
2005,404,2049-02,428.78,1
2006,401,2045-06,990.0,1
2006,401,2046-02,990.0,1
2006,401,2049-06,633.6,1
2006,402,2029-06,792.0,1
2006,402,2038-06,594.0,1
2006,402,2042-11,198.0,1
2006,403,2029-04,594.0,1
2006,403,2034-12,475.2,1
2006,403,2036-01,198.0,1
2006,403,2047-01,198.0,1
2006,403,2047-02,792.0,1
2006,403,2050-07,475.2,1
2007,401,2030-09,2333.56,1
2007,401,2037-05,583.39,1
2007,401,2045-07,1750.17,1
2007,401,2051-08,1750.17,1
2007,402,2034-09,933.42,1
2007,402,2035-01,1050.1,1
2007,402,2036-03,1166.78,1
2007,403,2026-08,583.39,1
2007,403,2033-05,2333.56,1
2007,403,2043-05,583.39,1
2007,403,2043-10,1400.14,1
2007,403,2044-04,525.05,1
2007,403,2046-09,1166.78,1
2007,403,2047-10,933.42,1
2007,403,2048-03,1750.17,1
2007,403,2055-02,466.71,1
2007,404,2030-08,933.42,1
2007,404,2031-02,1750.17,1
2007,404,2047-09,2333.56,1
2008,401,2048-06,106.54,1
2008,402,2025-07,159.82,1
2008,402,2028-08,106.54,1
2008,402,2032-03,266.36,1
2008,402,2035-01,466.13,1
2008,403,2035-10,159.82,1
2008,403,2038-03,106.54,1
2008,403,2039-10,133.18,1
2008,403,2048-03,66.59,1
2008,403,2051-09,133.18,1
2008,404,2026-02,53.27,1
2008,404,2026-05,266.36,1
2008,404,2032-06,332.95,1
2008,404,2041-05,59.93,1
2008,404,2051-11,66.59,1
2009,401,2027-04,66.31,1
2009,401,2029-03,119.36,1
2009,401,2032-01,53.05,1
2009,401,2034-02,265.24,1
2009,401,2035-12,53.05,1
2009,401,2039-06,119.36,1
2009,403,2027-04,198.93,1
2009,403,2032-04,53.05,1
2009,403,2039-07,66.31,1
2009,403,2043-05,265.24,1
2009,403,2043-10,198.93,1
2009,403,2044-01,66.31,1
2009,403,2046-02,106.1,1
2009,403,2055-04,198.93,1
2009,404,2032-06,198.93,1
2009,404,2038-04,53.05,1
2010,401,2029-02,62.27,1
2010,401,2049-03,389.2,1
2010,401,2052-09,70.06,1
2010,401,2054-12,186.82,1
2010,401,2055-03,155.68,1
2010,402,2024-10,140.11,1
2010,402,2032-03,210.17,1
2010,403,2028-07,62.27,1
2010,404,2031-03,124.54,1
2010,404,2038-05,544.88,1
2010,404,2044-10,210.17,1
2010,404,2050-01,233.52,1
2010,404,2052-08,311.36,1
2010,404,2052-10,62.27,1
2011,402,2037-03,327.79,1
2011,402,2050-02,1229.22,1
2011,402,2052-04,409.74,1
2011,402,2052-07,655.58,1
2011,402,2053-06,1638.96,1
2011,402,2054-02,368.77,1
2011,403,2024-04,1229.22,1
2011,403,2032-02,1229.22,1
2011,403,2035-02,409.74,1
2011,403,2035-10,1229.22,1
2011,403,2036-02,1638.96,1
2011,403,2049-12,819.48,1
2011,403,2052-11,1475.06,1
2011,403,2055-01,327.79,1
2011,404,2034-07,1638.96,1
2011,404,2043-10,737.53,1
2012,401,2036-02,1121.74,1
2012,402,2030-05,1121.74,1
2012,402,2031-08,1121.74,1
2012,402,2033-11,623.19,1
2012,402,2034-10,3115.95,1
2012,402,2040-09,623.19,1
2012,403,2027-12,1682.61,1
2012,403,2032-08,560.87,1
2012,403,2053-09,560.87,1
2012,404,2025-06,1869.57,1
2012,404,2029-07,997.1,1
2012,404,2030-02,1994.21,1
2012,404,2046-07,1682.61,1
2012,404,2049-03,623.19,1
2012,404,2051-10,623.19,1
2013,401,2027-11,748.29,1
2013,401,2033-10,2993.15,1
2013,401,2037-09,935.36,1
2013,401,2038-08,1683.65,1
2013,401,2048-10,1683.65,1
2013,402,2030-01,1683.65,1
2013,402,2032-04,2244.86,1
2013,402,2035-01,1870.72,1
2013,402,2050-08,1683.65,1
2013,402,2050-12,2244.86,1
2013,402,2054-09,1870.72,1
2013,403,2027-05,2806.08,1
2013,404,2054-01,1870.72,1
2014,401,2026-04,886.68,1
2014,401,2030-07,443.34,1
2014,401,2049-10,591.12,1
2014,402,2024-11,221.67,1
2014,402,2026-07,738.9,1
2014,402,2032-05,221.67,1
2014,402,2051-01,1231.5,1
2014,402,2052-02,665.01,1
2014,402,2053-06,492.6,1
2014,402,2054-08,246.3,1
2014,403,2036-02,985.2,1
2014,403,2038-11,246.3,1
2014,403,2051-01,246.3,1
2014,404,2027-01,738.9,1
2014,404,2029-09,197.04,1
2014,404,2037-09,1231.5,1
2014,404,2042-07,738.9,1
2014,404,2048-05,443.34,1
2014,404,2048-12,985.2,1
2014,404,2049-05,197.04,1
2015,401,2028-01,1822.42,1
2015,401,2047-09,1214.95,1
2015,401,2052-11,2024.91,1
2015,402,2024-06,3037.36,1
2015,402,2032-12,1619.93,1
2015,402,2048-03,2024.91,1
2015,402,2052-07,674.97,1
2015,402,2054-09,3374.85,1
2015,403,2028-06,2699.88,1
2015,403,2037-10,2699.88,1
2015,403,2045-07,1079.95,1
2015,403,2050-06,674.97,1
2015,404,2024-09,1214.95,1
2015,404,2026-01,539.98,1
2015,404,2041-09,1619.93,1
2016,401,2038-10,2584.16,1
2016,401,2053-04,258.42,1
2016,402,2033-05,290.72,1
2016,402,2034-10,775.25,1
2016,402,2036-12,646.04,1
2016,402,2037-08,646.04,1
2016,402,2038-11,516.83,1
2016,402,2039-11,1292.08,1
2016,402,2042-03,1162.87,1
2016,402,2044-08,872.15,1
2016,402,2046-11,646.04,1
2016,402,2050-10,1744.3,2
2016,403,2025-06,969.06,1
2016,404,2049-10,516.83,1
2016,404,2052-12,290.72,1
2016,404,2055-04,872.15,1
2017,401,2040-12,417.33,1
2017,401,2046-08,1669.32,1
2017,401,2049-12,1112.88,1
2017,402,2029-10,741.92,1
2017,402,2031-07,1391.1,1
2017,402,2037-05,741.92,1
2017,402,2046-10,2782.2,1
2017,402,2052-04,1854.8,1
2017,403,2026-12,370.96,1
2017,403,2029-06,370.96,1
2017,403,2037-08,463.7,1
2017,403,2039-12,1854.8,1
2017,403,2043-09,370.96,1
2017,403,2050-08,1112.88,1
2017,404,2028-01,1854.8,1
2017,404,2030-06,834.66,1
2017,404,2030-09,741.92,1
2017,404,2038-08,927.4,1
2017,404,2046-11,463.7,1
2018,401,2024-11,2169.04,1
2018,401,2038-12,1084.52,1
2018,401,2044-09,867.62,1
2018,401,2052-05,488.03,1
2018,401,2054-10,1084.52,1
2018,402,2025-09,1626.78,1
2018,402,2035-07,542.26,1
2018,402,2040-08,867.62,1
2018,402,2042-01,1301.42,1
2018,402,2044-09,867.62,1
2018,402,2045-03,1084.52,1
2018,402,2047-04,542.26,1
2018,403,2028-02,2711.3,1
2018,403,2032-09,1301.42,1
2018,403,2044-03,2169.04,1
2018,403,2048-07,2169.04,1
2018,404,2025-04,2440.17,1
2018,404,2025-06,488.03,1
2018,404,2031-10,1084.52,1
2018,404,2047-05,2169.04,1
2018,404,2049-11,433.81,1
2018,404,2050-01,867.62,1
2019,401,2049-02,933.93,1
2019,401,2053-05,840.54,1
2019,401,2055-06,747.14,1
2019,402,2037-10,1867.86,1
2019,402,2045-11,1494.29,1
2019,402,2049-07,933.93,1
2019,402,2053-11,747.14,1
2019,403,2029-01,1681.07,1
2019,403,2042-05,933.93,1
2019,404,2026-07,933.93,1
2019,404,2040-11,747.14,1
2019,404,2046-08,747.14,1
2019,404,2054-03,933.93,1
2020,401,2047-09,300.66,1
2020,401,2050-06,1014.74,1
2020,402,2027-09,338.25,1
2020,402,2031-11,2254.98,1
2020,402,2040-03,676.49,1
2020,402,2044-11,676.49,1
2020,402,2050-11,751.66,1
